item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q102491098,NormalRank,Q6581072,true,false,,,,
Q102734949,NormalRank,Q6581097,true,false,,,,
Q103393579,NormalRank,Q6581072,true,false,,,,
Q104581315,NormalRank,Q6581097,true,false,,,,
Q104591538,NormalRank,Q6581097,true,false,,,,
Q104598899,NormalRank,Q6581072,true,false,,,,
Q104658817,NormalRank,Q6581097,true,false,,,,
Q104667003,NormalRank,Q6581097,true,false,,,,
Q104707770,NormalRank,Q6581072,true,false,,,,
Q104707794,NormalRank,Q6581097,true,false,,,,
Q104710307,NormalRank,Q6581072,true,false,,,,
Q104821640,NormalRank,Q6581072,true,false,,,,
Q104876875,NormalRank,Q6581097,true,false,,,,
Q104902365,NormalRank,Q6581097,true,false,,,,
Q104903343,NormalRank,Q6581097,true,false,,,,
Q105044296,NormalRank,Q6581097,true,false,,,,
Q105715507,NormalRank,Q6581097,true,false,,,,
Q113455554,NormalRank,Q6581097,true,false,,,,
Q113455556,NormalRank,Q6581097,true,false,,,,
Q114565542,,,,false,,,,
Q16873156,NormalRank,Q6581097,true,false,,,,
Q20736491,NormalRank,Q6581097,true,false,,,,
Q20983252,NormalRank,Q6581072,true,false,,,,
Q212760,NormalRank,Q6581097,true,true,false,false,false,true
Q25046178,NormalRank,Q6581097,true,false,,,,
Q48955173,NormalRank,Q6581097,true,false,,,,
Q5230470,NormalRank,Q6581097,true,false,,,,
Q53848199,NormalRank,Q6581097,true,true,false,false,false,true
Q62733292,NormalRank,Q6581097,true,false,,,,
Q62733325,NormalRank,Q6581097,true,false,,,,
Q62733333,NormalRank,Q6581097,true,false,,,,
Q62733342,NormalRank,Q6581097,true,false,,,,
Q62733361,NormalRank,Q6581097,true,false,,,,
Q62733387,NormalRank,Q6581097,true,false,,,,
Q62733422,NormalRank,Q6581097,true,false,,,,
Q62733431,NormalRank,Q6581097,true,false,,,,
Q62733439,NormalRank,Q6581097,true,true,false,false,false,true
Q62733470,NormalRank,Q6581072,true,false,,,,
Q62733487,NormalRank,Q6581072,true,false,,,,
Q62733503,NormalRank,Q6581072,true,false,,,,
Q62733518,NormalRank,Q6581097,true,false,,,,
Q62733527,NormalRank,Q6581097,true,false,,,,
Q62733540,NormalRank,Q6581072,true,false,,,,
Q62733572,NormalRank,Q6581072,true,false,,,,
Q62733586,NormalRank,Q6581072,true,false,,,,
Q62733595,NormalRank,Q6581072,true,false,,,,
Q62733605,NormalRank,Q6581097,true,false,,,,
Q62733615,NormalRank,Q6581097,true,false,,,,
Q62733622,NormalRank,Q6581072,true,false,,,,
Q62733631,NormalRank,Q6581097,true,false,,,,
Q62733645,NormalRank,Q6581072,true,false,,,,
Q62733674,NormalRank,Q6581097,true,false,,,,
Q62733701,NormalRank,Q6581097,true,false,,,,
Q62733717,NormalRank,Q6581097,true,false,,,,
Q62733746,NormalRank,Q6581072,true,false,,,,
Q62733770,NormalRank,Q6581072,true,false,,,,
Q62733798,NormalRank,Q6581097,true,false,,,,
Q62733804,NormalRank,Q6581072,true,false,,,,
Q62733847,NormalRank,Q6581097,true,false,,,,
Q62733855,NormalRank,Q6581097,true,false,,,,
Q62733872,NormalRank,Q6581097,true,false,,,,
Q62733898,NormalRank,Q6581072,true,false,,,,
Q62733914,NormalRank,Q6581097,true,false,,,,
Q62733923,NormalRank,Q6581072,true,false,,,,
Q62733927,NormalRank,Q6581097,true,false,,,,
Q62733938,NormalRank,Q6581097,true,false,,,,
Q62733947,NormalRank,Q6581072,true,false,,,,
Q62733956,NormalRank,Q6581097,true,false,,,,
Q62733971,NormalRank,Q6581072,true,false,,,,
Q62733979,NormalRank,Q6581072,true,false,,,,
Q62733987,NormalRank,Q6581097,true,false,,,,
Q62733995,NormalRank,Q6581097,true,false,,,,
Q62734023,NormalRank,Q6581097,true,false,,,,
Q62734026,NormalRank,Q6581072,true,false,,,,
Q62734031,NormalRank,Q6581072,true,false,,,,
Q62734037,,,,false,,,,
Q62734047,NormalRank,Q6581097,true,true,false,false,false,false
Q62734056,,,,false,,,,
Q62734065,,,,false,,,,
Q62734305,,,,false,,,,
Q62734370,NormalRank,Q6581072,true,false,,,,
Q62734392,,,,false,,,,
Q62734402,,,,false,,,,
Q62734519,NormalRank,Q6581097,true,false,,,,
Q62734557,NormalRank,Q6581097,true,false,,,,
Q62734956,NormalRank,Q6581097,true,false,,,,
Q64840184,NormalRank,Q6581097,true,true,false,false,false,true
Q6915896,NormalRank,Q6581097,true,false,,,,
Q7306955,NormalRank,Q6581097,true,false,,,,
Q98053664,NormalRank,Q6581097,true,false,,,,
Q99522589,NormalRank,Q6581097,true,true,false,false,false,true
Q57422,NormalRank,Q6581097,true,false,,,,
Q57697,NormalRank,Q6581097,true,true,false,false,false,true
