item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q102491098,Gail Teixeira,,,,,,false,,,,
Q102734949,Zulfikar Mustapha,,,,,,false,,,,
Q103393579,Priya Manickchand,,,,,,false,,,,
Q104581315,Robeson Benn,NormalRank,Q10717,Georgetown,true,true,true,false,false,true,true
Q104591538,Collin Croal,,,,,,false,,,,
Q104598899,Vindhya Persaud,NormalRank,Q10717,Georgetown,true,true,true,false,false,true,true
Q104658817,Nigel Dharamlall,,,,,,false,,,,
Q104667003,Anand Persaud,,,,,,false,,,,
Q104707770,Sonia Parag,,,,,,false,,,,
Q104707794,Vickram Bharrat,,,,,,false,,,,
Q104710307,Oneidge Walrond,,,,,,false,,,,
Q104821640,Susan Rodrigues,,,,,,false,,,,
Q104876875,Charles S. Ramson,,,,,,false,,,,
Q104902365,Frank C.S. Anthony,,,,,,false,,,,
Q104903343,Joseph Hamilton,,,,,,false,,,,
Q105044296,Juan A. Edghill,NormalRank,Q10717,Georgetown,true,true,true,false,false,true,true
Q105715507,Ashni Singh,,,,,,false,,,,
Q113455554,Deodat Indar,,,,,,false,,,,
Q113455556,Warren Kwame McCoy,,,,,,false,,,,
Q114565542,Navindranauth Omanand Chandarpal,,,,,,false,,,,
Q16873156,Mohabir Anil Nandlall,,,,,,false,,,,
Q20736491,Robert Montgomery Persaud,NormalRank,Q675322,Berbice,true,false,false,,,,
Q20983252,Indranie Chandarpal,,,,,,false,,,,
Q212760,Bharrat Jagdeo,NormalRank,Q7893831,Unity Village,true,true,true,false,false,false,true
Q25046178,Barton Scotland,,,,,,false,,,,
Q48955173,Bheri Sygmond Ramsaran,,,,,,false,,,,
Q5230470,David A. Granger,NormalRank,Q10717,Georgetown,true,true,false,,,,
Q53848199,Carl Barrington Greenidge,NormalRank,Q923811,New Amsterdam,true,true,true,false,false,true,true
Q62733292,David Patterson,,,,,,false,,,,
Q62733325,George Norton,,,,,,false,,,,
Q62733333,Rupert Roopnarine,,,,,,false,,,,
Q62733342,Joseph Harmon,,,,,,false,,,,
Q62733361,Noel Holder,,,,,,false,,,,
Q62733387,Basil Williams,,,,,,false,,,,
Q62733422,Khemraj Ramjattan,,,,,,false,,,,
Q62733431,Ronald A. Bulkan,,,,,,false,,,,
Q62733439,Sydney C. Allicock,NormalRank,Q7056564,North Rupununi,true,false,true,false,false,true,true
Q62733470,Catherine Hughes,,,,,,false,,,,
Q62733487,Volda Lawrence,,,,,,false,,,,
Q62733503,Amna Ally,,,,,,false,,,,
Q62733518,Winston Felix,,,,,,false,,,,
Q62733527,Keith Scott,,,,,,false,,,,
Q62733540,Dawn Hastings-Williams,,,,,,false,,,,
Q62733572,Annette Ferguson,,,,,,false,,,,
Q62733586,Valerie Garrido-Lowe,,,,,,false,,,,
Q62733595,Karen Cummings,NormalRank,Q675322,Berbice,true,false,true,false,false,true,true
Q62733605,Dominic Gaskin,,,,,,false,,,,
Q62733615,Winston DaCosta Jordan,,,,,,false,,,,
Q62733622,Nicolette O. Henry,,,,,,false,,,,
Q62733631,Audwin Rutherford,,,,,,false,,,,
Q62733645,Simona Broomes,,,,,,false,,,,
Q62733674,Jermaine Figueira,,,,,,false,,,,
Q62733701,Raphael G.C. Trotman,,,,,,false,,,,
Q62733717,John Adams,,,,,,false,,,,
Q62733746,Jennifer Wade,,,,,,false,,,,
Q62733770,Valarie Patterson,,,,,,false,,,,
Q62733798,Jaipaul Sharma,,,,,,false,,,,
Q62733804,Rajcoomarie Bancroft,,,,,,false,,,,
Q62733847,Juan A. Edghill,,,,,,false,,,,
Q62733855,Alister S. Charlie,,,,,,false,,,,
Q62733872,Collin D. Croal,,,,,,false,,,,
Q62733898,Jennifer R.A. Westford,,,,,,false,,,,
Q62733914,Mohamed I. Alli,,,,,,false,,,,
Q62733923,Pauline Campbell-Sukhai,,,,,,false,,,,
Q62733927,Clement J. Rohee,,,,,,false,,,,
Q62733938,Harry Gill,,,,,,false,,,,
Q62733947,Gillian R. Persaud,,,,,,false,,,,
Q62733956,Komal Chand,,,,,,false,,,,
Q62733971,Gail Teixeira,,,,,,false,,,,
Q62733979,Priya D. Manickchand,,,,,,false,,,,
Q62733987,Adrian V. Anamayah,,,,,,false,,,,
Q62733995,Cornel Damon,,,,,,false,,,,
Q62734023,Odinga Lumumba,,,,,,false,,,,
Q62734026,Africo Selman,,,,,,false,,,,
Q62734031,Sheila Veersammy,,,,,,false,,,,
Q62734037,Ganga Persaud,,,,,,false,,,,
Q62734047,Frank C.S. Anthony,,,,,,false,,,,
Q62734056,Dharamkumar Seeraj,,,,,,false,,,,
Q62734065,Vindhya Vasini Persaud,,,,,,false,,,,
Q62734305,Mustapha Zulfikar,,,,,,false,,,,
Q62734370,Yvonne P. Fredericks,,,,,,false,,,,
Q62734392,Vishwa D.B Mahadeo,,,,,,false,,,,
Q62734402,Nigel D. Dharamlall,,,,,,false,,,,
Q62734519,Clive R. Jagan,,,,,,false,,,,
Q62734557,Charrandas Persaud,NormalRank,Q10717,Georgetown,true,true,true,false,false,true,true
Q62734956,Charles S. Ramson,,,,,,false,,,,
Q64840184,Irfaan Ali,NormalRank,Q6526679,Leonora,true,false,true,false,false,true,true
Q6915896,Moses Nagamootoo,NormalRank,Q675322,Berbice,true,false,true,false,false,false,true
Q7306955,Reepu Daman Persaud,NormalRank,Q918126,British Guiana,true,false,true,false,false,true,true
Q98053664,Mark Phillips,NormalRank,Q10717,Georgetown,true,true,false,,,,
Q99522589,Hugh Todd,,,,,,false,,,,
Q57422,Donald Ramotar,NormalRank,Q918126,British Guiana,true,false,true,false,false,false,true
Q57697,Sam Hinds,NormalRank,Q10717,Georgetown,true,true,false,,,,
