item,itemLabel,position,positionLabel,startDate,endDate
Q64840184,Dr. Mohamed Irfaan Ali,,President,2020-08-02,
Q98053664,Brig. Ret. Mark Phillips,,Prime Minister,2020-08-02,
Q212760,Dr. Bharrat Jagdeo,,Vice President,2020-08-02,
Q16873156,Mohabir Anil Nandlall,,Attorney General and Minister of Legal Affairs,2020-08-02,
Q102491098,Gail Teixeira,,Minister of Parliamentary Affairs and Governance,2020-08-02,
Q102734949,Zulfikar Mustapha,,Minister of Agriculture,2020-08-05,
Q62733923,Pauline Campbell-Sukhai,,Minister of Amerindian Affairs,2020-08-05,
Q104876875,Charles S. Ramson,,"Minister of Culture, Youth, and Sport",2020-08-05,
Q103393579,Priya Manickchand,,Minister of Education,2020-08-05,
Q105715507,Ashni Kumar Singh,,Senior Minister in the Office of the President with Responsibility for Finance,2020-11-05,
Q99522589,Hugh Todd,,Minister of Foreign Affairs and International Cooperation,2020-08-05,
Q104902365,Dr. Frank C.S. Anthony,,Minister of Health,2020-08-05,
Q104581315,Robeson Benn,,Minister of Home Affairs,2020-08-05,
Q104591538,Collin Croal,,Minister of Housing and Water,2020-08-05,
Q104821640,Susan Rodrigues,,Minister in the Ministry of Housing and Water,2020-08-05,
Q104598899,Dr. Vindhya V. Persaud,,Minister of Human Services and Social Security,2020-08-05,
Q104903343,Joseph Hamilton,,Minister of Labour,2020-08-05,
Q104658817,Nigel Dharamlall,,Minister of Local Government and Regional Development,2020-08-05,
Q104667003,Anand Persaud,,Minister in the Ministry of Local Government and Regional Development,2020-08-05,
Q104707794,Vickram Bharrat,,Minister of Natural Resources,2020-08-05,
Q104707770,Sonia Parag,,Minister of Public Service,2020-08-05,
Q105044296,Bishop Juan Edghill,,Minister of Public Works,2020-08-05,
,Deodat Indar,,Minister in the Ministry of Public Works,2020-08-05,
Q104710307,Oneidge Walrond Allicock,,"Minister of Tourism, Industry, and Commerce",2020-08-05,
,Warren Kwame McCoy,,Minister within the Office of the Prime Minister,2020-08-05,
