position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q376006,Prime Minister of Guyana,Q734,Guyana,Q734,Guyana,,,,,,,,,Q20725053,list of prime ministers of Guyana
Q685925,President of Guyana,Q734,Guyana,Q734,Guyana,1970-02-23,,,,,,Q48775023,Vice President of Guyana,Q14940077,list of heads of state of Guyana
Q6570925,First Lady of Guyana,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q6866032,Minister of Agriculture,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q7169238,Permanent Representative of Guyana to the United Nations,Q734,Guyana,,,,,,,,,,,Q107496317,list of Permanent Representatives of Guyana to the United Nations
Q18654760,Member of the National Assembly  of Guyana,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q28058213,Guyanese ambassador to China,Q734,Guyana,,,,,,,,,,,,
Q28220864,Guyanese Ambassador to the United States,Q734,Guyana,,,,,,,,,,,,
Q48775023,Vice President of Guyana,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q56063486,Attorney General of Guyana,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q113470671,Minister of Foreign Affairs,,,Q734,Guyana,,,,,,,,,,
Q114565388,Minister of Education of Guyana,,,Q734,Guyana,,,,,,,,,,
Q114565390,Minister of Health of Guyana,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565391,Minister of Finance,,,Q734,Guyana,,,,,,,,,,
Q114565466,Minister of Home Affairs,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565468,Minister of Amerindian Affairs,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565657,Foreign Secretary of Guyana,Q734,Guyana,Q734,Guyana,2019-05-01,,,,,,,,,
Q114565676,Minister in the Ministry of Housing and Water,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565677,Minister in the Ministry of Local Government and Regional Development,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565678,Minister in the Ministry of Public Works,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565680,"Minister of Culture, Youth, and Sport",Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565682,Minister of Housing and Water,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565684,Minister of Human Services and Social Security,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565685,Minister of Labour,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565686,Minister of Local Government and Regional Development,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565687,Minister of Natural Resources,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565688,Minister of Parliamentary Affairs and Governance,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565689,Minister of Public Service,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565690,Minister of Public Works,Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565691,"Minister of Tourism, Industry, and Commerce",Q734,Guyana,Q734,Guyana,,,,,,,,,,
Q114565692,Minister within the Office of the Prime Minister,Q734,Guyana,Q734,Guyana,,,,,,,,,,
